45.429294,12.343171,48323b
45.434444,12.339287,544f56
45.439537,12.313613,6e859d
45.439778,12.334556,64789f
45.439778,12.334556,040403
45.439537,12.313613,8f9899
45.439778,12.334556,98a7af
45.434215,12.33873,c8ddf7
45.433823,12.339566,747f7a
45.433296,12.339717,aec0bf
45.4342,12.340682,191c19
45.436684,12.333,837f75
45.431941,12.328602,5f6363
45.430751,12.334824,748283
45.43508,12.328376,8b8f81
45.433951,12.337726,7aa0cb
45.433451,12.335355,797a71
45.43706,12.334068,8e9891
45.43706,12.334068,a7a7a9
45.43706,12.334068,818c98
45.43706,12.334068,b7b7b8
45.433451,12.335355,9aadc0
45.439778,12.334556,141615
45.430864,12.330265,716b69
45.43484,12.342367,0f060e
45.430864,12.330265,7a6f6b
45.43959,12.342056,070b08
45.434486,12.339255,fbfcf7
45.419901,12.329235,6c4f14
45.434486,12.339255,fcfbf8
45.433198,12.339341,fefefc
45.433198,12.339341,fefef8
45.433974,12.337024,f8f8f2
45.434486,12.339255,fcfcfb
45.431828,12.328634,0a0707
45.438758,12.339658,323631
45.438758,12.339658,1e221d
45.437422,12.340312,453e37
45.437422,12.340312,8d8e8f
45.437422,12.340312,bfbdbc
45.433883,12.345081,b3b3b3
45.433883,12.345081,545150
45.433883,12.345081,575c5b
45.433883,12.345081,aeadab
45.425789,12.335624,3d2f29
45.435717,12.339025,161306
45.435717,12.339025,2b230b
45.438062,12.335838,66696a
45.435717,12.339025,080804
45.435717,12.339025,120b04
45.434429,12.339379,504c48
45.434429,12.339379,5b5650
45.434087,12.339046,a2aaae
45.434087,12.339046,7e807f
45.435129,12.338821,201a17
45.437422,12.340312,a4978e
45.437422,12.340312,524b41
45.432118,12.329326,9c5040
45.431828,12.329197,1a2014
45.431595,12.328822,b4bcc2
45.431045,12.334529,696a65
45.431045,12.334529,969796
45.431045,12.334529,2e1e1e
45.433944,12.336342,72594f
45.433944,12.336342,25150f
45.437121,12.337501,6c505a
45.437121,12.337501,e09b85
45.433432,12.337448,0b0608
45.431824,12.350869,0e0e08
45.456277,12.30194,a89c80
45.456277,12.30194,0f1012
45.433289,12.340945,f4ecdd
45.434057,12.338043,7c7253
45.433515,12.339888,e8ead7
45.430789,12.334808,606b76
45.432999,12.33969,f7f7f8
45.458079,12.357687,ada398
45.429456,12.343128,b4dcee
45.434414,12.339234,5f807e
45.438212,12.331295,302622
45.441464,12.331809,9b9b99
45.433635,12.338848,d4dbe0
45.446737,12.320791,8f9296
45.434806,12.340768,0b0705
45.428455,12.380261,977d59
45.428455,12.380261,353a3f
45.428455,12.380261,444b48
45.425518,12.374424,1f1e1c
45.435231,12.325286,201e05
45.436857,12.333354,140e00
45.435231,12.325286,111106
45.435412,12.327132,1a1a1f
45.433763,12.338,fefefe
45.43243,12.335071,686463
45.433996,12.337989,5787bc
45.433996,12.337989,669dda
45.433996,12.337989,4f80b4
45.433996,12.337989,d1ae89
45.433996,12.337989,737677
45.428094,12.340393,a7abae
45.457722,12.352237,5595ca
45.457722,12.352237,d7b89b
45.457722,12.352237,bdc3ea
45.457722,12.352237,ecae54
45.457722,12.352237,4d433d
45.430503,12.332324,858785
45.436165,12.329235,0c0c0a
45.434478,12.344169,060606
45.431105,12.335414,70746d
45.436165,12.329235,f4f6f9
45.436165,12.329235,807568
45.436165,12.329235,343638
45.436165,12.329235,a0a198
45.436165,12.329235,aeaaa5
45.433681,12.342174,fcfde9
45.445303,12.333226,736051
45.436329,12.334213,6a8bd4
45.434117,12.345886,1a2928
45.427853,12.343482,392a1b
45.441404,12.321252,76a0de
45.441404,12.321252,794a56
45.441404,12.321252,835b54
45.442488,12.330522,535252
